Name,HP,攻撃力,守備力,特殊攻撃,特殊守備,スピード
フシギダネ,45,49,49,65,65,45
フシギバナ,80,82,83,100,100,80
ヒトカゲ,39,52,43,60,50,65
リザード,58,64,58,80,65,80
リザードン,78,84,78,109,85,100
ゼニガメ,44,48,65,50,64,43
カメックス,79,83,100,85,105,78
キャタピー,45,30,35,20,20,45
トランセル,50,20,55,25,25,30
バタフリー,60,45,50,90,80,70
ビードル,40,35,30,20,20,50
コクーン,45,25,50,25,25,35
スピアー,65,90,40,45,80,75
ポッポ,40,45,40,35,35,56
ピジョン,83,80,75,70,70,101
ピジョット,83,80,80,135,80,121
ロゼッタ,30,56,35,25,35,72
コラッタ,30,56,35,25,35,72
ラッタ,55,81,60,50,70,97
オニスズメ,40,60,30,31,31,70
オニドリル,65,90,65,61,61,100
アーボック,60,95,69,65,79,80
ピカチュー,35,55,40,50,50,90
ライチュー,60,90,55,90,80,110
サンド,50,75,85,20,30,40
サンドパン,50,75,90,10,35,40
ニドラン,55,47,52,40,40,41
ニドクイーン,90,92,87,75,85,76
ズバット,40,45,35,30,40,55
ゴルバット,75,80,70,65,75,90
ナゾノクサ,45,50,55,75,65,30
ラフレシア,75,80,85,110,90,50
